Pixel ID,Land cover stratum at beginning of time series (1985),Land cover stratum at end of time series (2016),Label 1. Disturbance Label #1,When was the disturbance?,Magnitude of disturbance,Label 2. Second disturbance,When was the disturbance?,Magnitude of disturbance,Total # Disturbances
93,1,1,0,N/A,N/A,N/A,N/A,N/A,0
94,1,2,3,6/18/08,3,N/A,N/A,N/A,1
95,2,2,0,N/A,N/A,N/A,N/A,N/A,0
96,1,2,3,6/28/00,3,N/A,N/A,N/A,1
97,1,1,0,N/A,N/A,N/A,N/A,N/A,0
98,1,1,4,9/12/10,1,0,N/A,N/A,1
99,1,1,0,N/A,N/A,N/A,N/A,N/A,0
100,1,2,3,7/4/14,3,0,N/A,N/A,1
101,1,1,0,N/A,N/A,N/A,N/A,N/A,0
102,1,1,4,3/4/89,2,0,N/A,N/A,1
103,1,1,0,N/A,N/A,N/A,N/A,N/A,0
104,1,2,3,5/23/89,3,0,N/A,N/A,1
105,1,1,0,N/A,N/A,N/A,N/A,N/A,0
106,1,1,0,N/A,N/A,N/A,N/A,N/A,0
107,1,1,0,N/A,N/A,N/A,N/A,N/A,0
108,1,2,3,9/7/87,2,N/A,N/A,N/A,1
109,1,2,3,6/17/93,2,N/A,N/A,N/A,1
110,1,2,3,6/6/89,3,0,N/A,N/A,1
111,1,2,3,7/13/85,3,0,N/A,N/A,1
112,1,1,0,N/A,N/A,N/A,N/A,N/A,0
113,1,1,0,N/A,N/A,N/A,N/A,N/A,0
114,1,1,4,9/20/15,1,N/A,N/A,N/A,1
115,1,1,0,N/A,N/A,N/A,N/A,N/A,0
116,1,2,3,11/11/22,2,N/A,N/A,N/A,1
117,1,1,4,8/6/14,14,0,N/A,N/a,1
118,1,1,0,N/A,N/A,N/A,N/A,N/A,0
119,1,2,3,7/28/84,3,N/A,N/A,N/A,1
120,1,2,3,9/6/99,3,0,N/A,N/A,1
121,1,2,4,2/8/01,1,3,6/17/10,3,2
122,1,2,3,8/3/92,3,0,N/A,N/A,1
123,1,1,4,9/26/06,1,0,N/A,N/A,1
124,2,2,0,N/A,N/A,N/A,N/A,N/A,0
125,1,1,0,N/A,N/A,N/A,N/A,N/A,0
126,1,1,0,N/A,N/A,N/A,N/A,N/A,0
127,1,1,0,N/A,N/A,N/A,N/A,N/A,0
128,1,1,0,N/A,N/A,N/A,N/A,N/A,0
129,1,1,0,N/A,N/A,N/A,N/A,N/A,0
130,1,1,0,N/A,N/A,N/A,N/A,N/A,0
131,1,1,0,N/A,N/A,N/A,N/A,N/A,0
132,1,1,0,N/A,N/A,N/A,N/A,N/A,0
133,2,2,0,N/A,N/A,N/A,N/A,N/A,0
134,1,2,3,8/2/98,3,0,N/A,N/A,1
135,1,1,0,N/A,N/A,N/A,N/A,N/A,0
136,1,2,3,8/31/86,3,3,11/12/01,2,2
137,1,1,0,N/A,N/A,N/A,N/A,N/A,0
138,1,1,4,7/24/15,2,0,N/A,N?A,1
139,1,2,3,7/13/99,3,0,N/A,N/A,1
140,1,2,3,6/17/98,3,0,N/A,N/A,1
141,1,2,3,7/12/87,3,0,N/A,N/A,1
142,1,2,4,7/12/88,3,3,9/8/06,3,2
143,1,2,3,9/23/99,3,0,N/A,N/A,1
144,1,2,3,8/12/96,3,0,N/A,N/A,1
145,1,1,0,N/A,N/A,N/A,N/A,N/A,0
146,1,1,0,N/A,N/A,N/A,N/A,N/A,0
147,1,1,4,1/27/02,2,0,N/A,N/A,1
148,1,2,3,8/13/05,3,0,N/A,N/A,1
149,1,1,0,N/A,N/A,N/A,N/A,N/A,0
150,1,2,4,9/16/97,3,3,9/25/06,3,2
151,1,2,3,2/12/99,3,0,N/A,N/A,1
152,1,2,3,2/10/99,3,0,N/A,N/A,1
153,1,2,3,4/10/12,3,0,N/A,N/A,1
154,1,2,4,10/3/03,3,3,8/13/08,3,2
155,1,2,3,7/11/95,3,0,N/A,N/A,1
156,1,1,4,2/14/88,1,4,11/11/99,2,2
157,1,1,0,N/A,N/A,N/A,N/A,N/A,0
158,1,2,3,6/3/93,3,0,N/A,N/A,1
159,1,2,3,8/2/04,3,0,N/A,N/A,1
160,2,2,0,N/A,N/A,N/A,N/A,N/A,0
161,1,1,0,N/A,N/A,N/A,N/A,N/A,0
162,1,1,0,N/A,N/A,N/A,N/A,N/A,0
163,1,1,4,9/15/15,1,0,N/A,N/A,1
164,1,1,0,N/A,N/A,N/A,N/A,N/A,0
165,2,2,0,N/A,N/A,N/A,N/A,N/A,0
166,1,2,3,7/25/95,3,0,N/A,N/A,0
167,1,1,0,N/A,N/A,N/A,N/A,N/A,0
168,1,2,4,10/15/96,2,3,7/25/04,3,2
169,1,1,0,N/A,N/A,N/A,N/A,N/A,0
170,1,1,0,N/A,N/A,N/A,N/A,N/A,0
171,1,1,0,N/A,N/A,N/A,N/A,N/A,0
172,1,1,0,N/A,N/A,N/A,N/A,N/A,0
173,1,1,0,N/A,N/A,N/A,N/A,N/A,0
174,1,2,3,10/6/95,3,0,N/A,N/A,1
175,1,2,3,10/26/02,3,0,N/A,N/A,1
176,1,1,0,N/A,N/A,N/A,N/A,N/A,0
177,1,1,0,N/A,N/A,N/A,N/A,N/A,0
178,1,1,0,N/A,N/A,N/A,N/A,N/A,0
179,1,2,3,9/30/05,3,N/A,N/A,N/A,1
180,1,2,3,7/23/03,3,0,N/A,N/A,1
181,1,1,0,N/A,N/A,N/A,N/A,N/A,0
182,2,2,0,N/A,N/A,N/A,N/A,N/A,0
183,1,0,3,7/20/10,1,0,N/A,N/A,1
184,1,1,0,N/A,N/A,N/A,N/A,N/A,0
185,1,0,4,5/1/02,2,3,8/2/04,3,2
186,1,1,4,9/12/10,1,0,N/A,N/A,1
187,1,1,0,N/A,N/A,N/A,N/A,N/A,0
188,1,0,4,6/23/95,2,3,12/21/00,3,2
189,1,0,4,2/3/11,2,4,9/20/16,2,2
190,1,1,0,N/A,N/A,N/A,N/A,N/A,0
191,1,1,0,N/A,N/A,N/A,N/A,N/A,0
192,1,1,0,N/A,N/A,N/A,N/A,N/A,0
193,1,1,0,N/A,N/A,N/A,N/A,N/A,0
194,1,1,0,N/A,N/A,N/A,N/A,N/A,0
195,1,1,4,9/24/08,1,0,N/A,N/A,1
196,1,0,4,9/30/08,2,0,N/A,N/A,1
197,1,1,0,N/A,N/A,N/A,N/A,N/A,0
198,1,2,4,11/12/03,2,3,7/13/14,3,2
199,1,1,0,N/A,N/A,N/A,N/A,N/A,0
200,1,1,0,N/A,N/A,N/A,N/A,N/A,0
201,1,1,0,N/A,N/A,0,N/A,N/A,0
202,1,1,3,6/26/07,3,0,N/A,N/A,1
203,1,2,3,7/28/05,3,0,N/A,N/A,1
204,2,2,0,N/A,N/A,0,N/A,N/A,0
205,1,2,3,9/7/11,3,0,N/A,N/A,1
206,1,1,0,N/A,N/A,0,N/A,N/A,0
207,1,2,3,5/20/03,3,0,N/A,N/A,1
208,1,2,3,8/12/88,3,0,N/A,N/A,1
209,2,2,3,4/20/86,3,0,N/A,N/A,1
210,1,2,3,7/15/94,3,0,N/A,N/A,1
211,1,1,0,N/A,N/A,0,N/A,N/A,0
212,1,1,0,N/A,N/A,0,N/A,N/A,0
213,1,1,0,N/A,0,N/A,N/A,N/A,0
214,1,2,3,6/13/12,3,0,N/A,N/A,1
215,1,1,4,8/6/11,1,0,N/A,N/A,1
216,1,1,0,N/A,N/A,0,N/A,N/A,0
217,1,1,0,N/A,N/A,0,N/A,N/A,0
218,1,1,0,N/A,N/A,0,N/A,N/A,0
219,1,1,0,N/A,N/A,0,N/A,N/A,0
220,1,1,0,N/A,N/A,N/A,N/A,N/A,0
221,1,1,0,N/A,N/A,0,N/A,N/A,0
222,1,1,0,N/A,N/A,0,N/A,N/A,0
223,1,2,3,5/6/03,3,0,N/A,N/A,1
224,1,1,0,N/A,N/A,0,N/A,N/A,0
225,1,2,3,6/3/87,3,3,4/4/03,3,2
226,1,2,3,11/5/97,3,0,N/A,N/A,1
227,1,1,0,N/A,N/A,0,N/A,N/A,1
228,1,1,0,N/A,N/A,0,N/A,N/A,0
229,1,1,0,N/A,N/A,0,N/A,N/A,0
230,1,1,0,N/A,N/A,0,N/A,N/A,0
231,1,1,0,N/A,N/A,0,,N/A,0
232,2,2,3,N/A,,,,,
233,1,1,0,N/A,N/A,N/A,N/A,N/A,0
234,1,2,3,10/13/16,2,3,7/5/91,1,2
235,1,2,3,6/17/05,3,0,N/A,N/A,1
236,1,1,0,N/A,N/A,N/A,N/A,N/A,1
237,1,2,3,3/10/03,3,0,N/A,N/A,1
238,1,1,4,5/24/95,3,0,N/A,N/A,1
239,2,2,0,N/A,N/A,0,N/A,N/A,0
240,1,2,3,7/6/00,1,1,3/15/17,3,2
241,1,2,4,11/15/10,1,3,4/29/16,3,2
242,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A
243,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A
244,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A
245,1,2,4,9/13/08,3,3,8/1/14,3,2
246,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A
247,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A
248,1,1,0,N/A,N/A,N/A,N/A,N/A,0
249,1,1,3,8/1/06,3,0,N/A,N/A,1
250,1,2,3,9/14/05,3,0,N/A,N/A,1
251,1,2,4,4/6/08,2,0,N/A,N?A,1
252,1,1,0,N/A,N/A,N/A,N/A,N/A,0
253,1,2,4,5/17/08,1,3,2/3/11,2,2
254,1,2,4,6/8/01,3,3,6/24/04,3,2
255,1,2,3,7/13/05,3,0,N/A,N/A,1
256,1,2,4,9/5/01,3,3,10/16/10,3,2
257,1,1,0,N/A,N/A,N/A,N/A,N/A,0
258,1,1,0,N/A,N/A,N/A,N/A,N/A,0
259,1,1,0,N/A,N/A,N/A,N/A,N/A,0
260,1,2,3,9/15/05,3,0,N/A,N/A,1
261,1,1,0,N/A,N/A,N/A,N/A,N/A,0
262,1,1,0,N/A,N/A,N/A,N/A,N/A,0
263,1,1,0,N/A,N/A,N/A,N/A,N/A,0
264,2,2,0,N/A,N/A,N/A,N/A,N/A,0
265,1,1,4,8/18/12,1,0,N/A,N/A,1
266,1,1,0,N/A,N/A,N/A,N/A,N/A,0
267,1,1,4,10/25/87,1,0,N/A,N/A,1
268,1,1,0,N/A,N/A,N/A,N/A,N/A,0
269,1,2,4,2/28/08,1,3,10/7/10,2,2
270,1,1,4,10/8/07,1,0,N/A,N/A,1
271,1,1,0,N/A,N/A,N/A,N/A,N/A,0
272,1,1,0,N/A,N/A,N/A,N/A,N/A,0
273,1,1,0,N/A,N/A,N/A,N/A,N/A,0
274,1,1,0,N/A,N/A,N/A,N/A,N/A,0
275,1,1,0,N/A,N/A,N/A,N/A,N/A,0
276,1,1,4,9/9/97,3,0,N/A,N/A,1
277,1,1,0,N/A,N/A,N/A,N/A,N/A,0
278,1,1,4,10/14/10,1,0,N/A,N/A,1
279,1,2,4,7/12/93,1,3,10/27/00,2,2
280,1,2,3,7/21/93,3,0,N/A,N/A,0
281,2,1,0,N/A,N/A,N/A,N/A,N/A,0
282,2,2,0,N/A,N/A,N/A,N/A,N/A,0
283,1,1,4,8/24/00,3,0,N/A,N/A,1
284,1,2,3,9/27/92,3,0,N/A,N/A,1
285,1,1,0,N/A,N/A,N/A,N/A,N/A,0
286,1,1,0,N/A,N/A,N/A,N/A,N/A,0
287,1,2,3,7/21/97,3,0,N/A,N/A,1
288,1,1,0,N/A,N/A,N/A,N/A,N/A,0
289,2,2,0,N/A,N/A,N/A,N/A,N/A,0
290,1,1,0,N/A,N/A,N/A,N/A,N/A,0
291,1,1,4,9/1/06,1,0,N/A,N/A,1
292,2,2,0,N/A,N/A,N/A,N/A,N/A,0
293,1,2,3,7/22/06,3,0,N/A,N/A,1
294,1,1,0,N/A,N/A,N/A,N/A,N/A,0
295,1,2,4,10/25/87,1,3,8/14/90,3,3
296,1,1,4,8/5/08,2,0,N/A,N/A,1
297,1,1,4,7/15/03,2,0,N/A,N/A,1
298,1,1,0,N/A,N/A,N/A,N/A,N/A,0
299,1,1,0,N/A,N/A,N/A,N/A,N/A,0
300,1,2,4,9/9/97,2,3,10/7/10,3,2
301,1,1,0,N/A,N/A,N/A,N/A,N/A,0
302,1,2,3,2/1/04,3,0,N/A,N/A,1
303,1,2,3,1/9/05,2,0,N/A,N/A,1
304,1,1,0,N/A,N/A,N/A,N/A,N/A,0
305,1,1,0,N/A,N/A,N/A,N/A,N/A,0
306,2,2,0,N/A,N/A,N/A,N/A,N/A,0
307,1,1,0,N/A,N/A,N/A,N/A,N/A,0
308,1,2,3,9/20/04,3,0,N/A,N/A,1
309,1,1,0,N/A,N/A,N/A,N/A,N/A,0
310,2,2,0,N/A,N/A,N/A,N/A,N/A,0
311,1,1,0,N/A,N/A,N/A,N/A,N/A,0
312,1,2,3,8/23/03,3,0,N/A,N/A,1
313,1,1,0,N/A,N/A,N/A,N/A,N/A,0
314,2,2,0,N/A,N/A,N/A,N/A,N/A,0
315,1,0,4,7/29/99,2,3,9/20/04,3,2
316,1,1,0,N/A,N/A,N/A,N/A,N/A,0
317,1,1,0,N/A,N/A,N/A,N/A,N/A,0
318,1,1,4,9/15/05,2,0,N?A,N/A,1
319,1,1,0,N/A,N/A,N/A,N/A,N/A,0
320,2,2,0,N/A,N/A,N/A,N/A,N/A,0
321,2,2,0,N/A,N/A,N/A,N/A,N/A,0
322,2,2,0,N/A,N/A,N/A,N/A,N/A,0
323,1,1,0,N/A,N/A,N/A,N/A,N/A,0
324,1,1,0,N/A,N/A,N/A,N/A,N/A,0
325,1,1,0,N/A,N/A,N/A,N/A,N/A,0
326,1,1,0,N/A,N/A,N/A,N/A,N/A,0
327,1,1,0,N/A,N/A,N/A,N/A,N/A,0
329,1,2,4,10/25/87,1,3,6/694,3,2
330,1,2,3,1/16/04,3,0,N?A,N/A,1
331,1,1,0,N/A,N/A,N/A,N/A,N/A,0
332,1,1,0,N/A,N/A,N/A,N/A,N/A,0
333,1,1,4,9/16/08,2,0,N/A,N/A,1
334,1,2,3,7/16/91,3,0,N/A,N/A,1
335,1,2,3,9/3/89,3,0,N/A,N/A,1
336,1,1,0,N/A,N/A,N/A,N/A,N/A,0
337,2,2,0,N/A,N/A,N/A,N/A,N/A,0
338,1,1,0,N/A,N/A,N/A,N/A,N/A,0
339,1,2,3,7/27/08,2,0,N/A,N/A,1
340,1,1,4,4/18/14,1,0,N/A,N/A,1
341,1,2,4,8/4/87,2,3,7/9/95,3,2
342,2,2,0,N/A,N/A,N/A,N/A,N/A,0
343,1,2,3,8/2/89,3,0,N/A,N/A,1
344,1,1,0,N/A,N/A,N/A,N/A,N/A,0
345,1,2,4,11/3/97,2,3,9/19/01,3,2
346,1,1,0,N/A,N/A,N/A,N/A,N/A,0
347,1,1,4,11/7/04,1,4,10/31/07,3,2
348,1,1,0,N/A,N/A,N/A,N/A,N/A,0
349,1,1,0,N/A,N/A,N/A,N/A,N/A,0
350,1,0,4,4/29/13,2,3,10/28/15,3,2
351,1,1,0,N/A,N/A,0,N/A,N/A,0
352,1,1,0,N/A,N/A,0,N/A,N/A,0
353,1,1,0,N/A,N/A,0,N/A,N/A,0
354,1,1,0,N/A,N/A,0,N/A,N/A,0
355,1,2,4,11/7/1995,1,3,8/9/2003,3,2
356,1,1,0,N/A,N/A,0,N/A,N/A,0
357,1,1,0,N/A,N/A,0,N/A,N/A,0
358,1,1,0,N/A,N/A,0,N/A,N/A,0
359,1,1,0,N/A,N/A,0,N/A,N/A,0
360,1,1,0,N/A,N/A,0,N/A,N/A,0
361,1,2,4,11/5/2006,2,3,9/16/2011,3,2
362,1,1,0,N/A,N/A,0,N/A,N/A,0
363,1,2,3,7/16/1986,2,0,N/A,N/A,1
364,1,1,0,N/A,N/A,0,N/A,N/A,0
365,1,1,0,N/A,N/A,0,N/A,N/A,0
366,1,1,0,N/A,N/A,0,N/A,N/A,0
367,1,1,0,N/A,N/A,0,N/A,N/A,0
368,1,1,4,11/12/2016,2,4,9/12/2010,3,2
369,1,1,0,N/A,N/A,0,N/A,N/A,0
370,1,1,0,N/A,N/A,0,N/A,N/A,0
371,1,2,4,9/3/1989,3,3,9/12/1998,3,2
372,1,1,0,N/A,N/A,0,N/A,N/A,0
373,1,1,0,N/A,N/A,0,N/A,N/A,0
374,1,2,3,8/26/1992,3,0,N/A,N/A,1
375,1,2,4,10/20/2015,1,0,N/A,N/A,1
376,1,2,3,7/20/1994,3,0,N/A,N/A,1
377,1,1,0,N/A,N/A,0,N/A,N/A,0
378,1,2,3,2/24/2004,3,0,N/A,N/A,1
379,1,1,0,N/A,N/A,0,N/A,N/A,0
380,1,1,0,N/A,N/A,0,N/A,N/A,0
381,1,1,0,N/A,N/A,0,N/A,N/A,0
382,1,1,0,N/A,N/A,0,N/A,N/A,0
383,1,2,4,10/26/1985,2,3,9/21/1993,3,2
384,1,2,4,7/11/1996,1,3,11/14/2001,2,2
385,1,1,0,N/A,N/A,0,N/A,N/A,0
386,1,1,0,N/A,N/A,0,N/A,N/A,0
387,1,1,0,N/A,N/A,0,N/A,N/A,0
388,2,2,0,N/A,N/A,0,N/A,N/A,0
389,2,2,0,N/A,N/A,0,N/A,N/A,0
390,1,1,4,10/23/2008,3,4,9/24/2012,2,2
391,1,1,0,N/A,N/A,0,N/A,N/A,0
392,1,1,4,5/10/02,1,0,N/A,N/A,1
393,1,1,0,N/A,N/A,0,N/A,N/A,0
394,2,2,0,N/A,N/A,0,N/A,N/A,0
395,1,1,0,N/A,N/A,0,N/A,N/A,0
396,1,1,0,N/A,N/A,0,N/A,N/A,0
397,1,2,3,9/22/1996,3,0,N/A,N/A,1
398,1,1,0,N/A,N/A,0,N/A,N/A,0
399,1,2,3,7/31/1994,3,0,N/A,N/A,1
400,1,1,0,N/A,N/A,0,N/A,N/A,0
401,1,1,4,1/26/1996,1,0,N/A,N/A,1
402,2,2,0,N/A,N/A,0,N/A,N/A,0
403,1,1,0,N/A,N/A,0,N/A,N/A,0
404,1,1,0,N/A,N/A,0,N/A,N/A,0
405,1,1,0,N/A,N/A,0,N/A,N/A,0
406,2,2,0,N/A,N/A,0,N/A,N/A,0
407,1,2,3,10/2/1997,3,0,N/A,N/A,1
408,1,2,3,10/10/1994,3,0,N/A,N/A,1
409,1,1,0,N/A,N/A,0,N/A,N/A,0
410,1,2,3,10/15/1995,3,0,N/A,N/A,1
411,1,2,4,10/3/2009,2,3,10/30/2016,3,2
412,1,2,3,11/18/2002,3,0,N/A,N/A,1
413,1,1,0,N/A,N/A,0,N/A,N/A,0
414,1,1,0,N/A,N/A,0,N/A,N/A,0
415,1,2,3,10/15/2004,3,0,N/A,N/A,1
416,1,2,3,8/4/1987,3,0,N/A,N/A,1
417,1,2,3,9/20/1990,3,0,N/A,N/A,1
418,1,1,0,N/A,N/A,0,N/A,N/A,0
419,2,2,0,N/A,N/A,0,N/A,N/A,0
420,1,2,4,9/7/1993,1,3,7/19/98,3,2
421,1,2,3,8/10/1986,2,0,N/A,N/A,1
422,1,2,3,8/25/2004,3,0,N/A,N/A,1
423,1,1,4,11/9/2005,2,0,N/A,N/A,1
424,1,2,3,10/5/2004,3,0,N/A,N/A,1
425,1,1,0,N/A,N/A,0,N/A,N/A,0
426,1,1,0,N/A,N/A,0,N/A,N/A,0
427,1,2,3,10/2/1988,3,3,10/7/2010,3,2
428,1,2,4,4/16/2011,3,4,8/27/2016,3,2
429,1,1,0,N/A,N/A,0,N/A,N/A,0
430,1,2,3,10/17/2002,3,0,N/A,N/A,1
431,2,2,0,N/A,N/A,0,N/A,N/A,0
432,1,1,0,N/A,N/A,0,N/A,N/A,0
433,1,1,0,N/A,N/A,0,N/A,N/A,0
434,1,1,4,10/10/2006,3,0,N/A,N/A,1
435,1,1,0,N/A,N/A,0,N/A,N/A,0
436,1,2,4,9/23/1988,1,3,10/10/1994,3,2
437,1,2,3,7/28/1993,3,0,N/A,N/A,1
438,1,1,4,12/9/10,1,0,N/A,N/A,1
439,2,2,4,10/8/2010,2,0,N/A,N/A,1
440,1,1,4,4/8/2008,2,0,N/A,N/A,1
441,2,2,0,N/A,N/A,0,N/A,N/A,0
442,1,1,0,N/A,N/A,0,N/A,N/A,0
443,1,1,0,N/A,N/A,0,N/A,N/A,0
444,1,1,0,N/A,N/A,0,N/A,N/A,0
445,1,1,0,N/A,N/A,0,N/A,N/A,0
446,1,2,3,11/15/2001,3,0,N/A,N/A,1
447,2,2,0,N/A,N/A,0,N/A,N/A,0
448,1,2,3,7/10/1987,3,0,N/A,N/A,1
449,1,1,4,9/2/2006,1,0,N/A,N/A,1
450,1,1,0,N/A,N/A,0,N/A,N/A,0
451,1,2,3,7/18/1995,3,0,N/A,N/A,1
452,1,1,0,N/A,N/A,0,N/A,N/A,0
453,1,2,3,3/23/1996,3,0,N/A,N/A,1
454,1,1,4,6/8/2004,1,0,N/A,N/A,1
455,1,2,3,10/17/2014,3,0,N/A,N/A,1
456,1,2,3,10/13/2003,3,0,N/A,N/A,1
457,1,1,0,N/A,N/A,N/A,N/A,N/A,0
458,1,1,0,N/A,N/A,0,N/A,N/A,0
459,1,2,3,12/4/2014,3,0,N/A,N/A,1
460,1,2,4,9/17/1985,1,3,10/4/1997,3,2
461,1,2,3,6/28/2008,3,0,N/A,N/A,1
462,1,1,4,11/18/2002,2,0,N/A,N/A,1
463,1,1,0,N/A,N/A,0,N/A,N/A,0
464,1,1,0,N/A,N/A,0,N/A,N/A,0
465,1,1,0,N/A,N/A,0,N/A,N/A,0
466,1,1,0,N/A,N/A,0,N/A,N/A,0
467,1,1,0,N/A,N/A,0,N/A,N/A,0
468,1,1,0,N/A,N/A,0,N/A,N/A,0
469,1,1,0,N/A,N/A,0,N/A,N/A,0
470,1,1,0,N/A,N/A,0,N/A,N/A,0
471,1,1,0,N/A,N/A,0,N/A,N/A,0
472,1,1,0,N/A,N/A,0,N/A,N/A,0
473,1,2,3,11/18/2002,3,0,N/A,N/A,1
474,1,1,0,N/A,N/A,0,N/A,N/A,0
475,1,1,0,N/A,N/A,0,N/A,N/A,0
476,1,1,0,N/A,N/A,0,N/A,N/A,0
477,1,1,0,N/A,N/A,0,N/A,N/A,0
478,1,2,3,11/15/1989,3,0,N/A,N/A,1
479,1,1,4,10/20/2000,1,0,N/A,N/A,1
480,1,1,0,N/A,N/A,0,N/A,N/A,0
481,1,2,3,5/11/2006,3,0,N/A,N/A,1
